,User_A,User_B,Type,Source
284,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
285,@MimiTexasAngel,@MimiTexasAngel,Tweet,Democratic
286,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
287,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
288,@LiliaDarkStar,@chefLCraig70,Reply,Republican
289,@MMPconnection,@MMPconnection,Tweet,Democratic
290,@MMPconnection,@MMPconnection,Tweet,Republican
291,@MMPconnection,@MMPconnection,Tweet,Public
292,@MMPconnection,@MMPconnection,Tweet,Democratic
293,@MMPconnection,@MMPconnection,Tweet,Republican
294,@MMPconnection,@MMPconnection,Tweet,Public
295,@Etiquette246,@MMPconnect,Retweet,Republican
296,@MMPconnect,@MMPconnect,Tweet,Democratic
297,@MMPconnect,@MMPconnect,Tweet,Republican
298,@MMPconnect,@MMPconnect,Tweet,Public
299,@DJWarrenYoung,@DJWarrenYoung,Tweet,Republican
300,@MMPconnect,@MMPconnect,Tweet,Democratic
301,@MMPconnect,@MMPconnect,Tweet,Republican
302,@MMPconnect,@MMPconnect,Tweet,Public
303,@ZeroOne33408052,@jong_slow,Retweet,Republican
304,@BernieBot_2020,@MimiTexasAngel,Retweet,Democratic
305,@BernieBot_2020,@MimiTexasAngel,Retweet,Republican
306,@BernieBot_2020,@RepJerryNadler,Retweet,Democratic
307,@BernieBot_2020,@RepJerryNadler,Retweet,Republican
308,@BernieBot_2020,@ViewFromWise,Retweet,Democratic
309,@BernieBot_2020,@ViewFromWise,Retweet,Republican
310,@BernieBot_2020,@GOPLeader,Retweet,Democratic
311,@BernieBot_2020,@GOPLeader,Retweet,Republican
312,@MimiTexasAngel,@RepJerryNadler,Reply,Democratic
313,@MimiTexasAngel,@RepJerryNadler,Reply,Republican
314,@MimiTexasAngel,@RepJerryNadler,Reply,Public
315,@MimiTexasAngel,@ViewFromWise,Reply,Democratic
316,@MimiTexasAngel,@ViewFromWise,Reply,Republican
317,@MimiTexasAngel,@ViewFromWise,Reply,Public
318,@MimiTexasAngel,@GOPLeader,Reply,Democratic
319,@MimiTexasAngel,@GOPLeader,Reply,Republican
320,@MimiTexasAngel,@GOPLeader,Reply,Public
321,@Ryzen1125,@jong_slow,Retweet,Republican
322,@MimiTexasAngel,@GOP,Reply,Democratic
323,@MimiTexasAngel,@GOP,Reply,Republican
324,@MimiTexasAngel,@GOP,Reply,Public
325,@MimiTexasAngel,@TheDemocrats,Reply,Democratic
326,@MimiTexasAngel,@TheDemocrats,Reply,Republican
327,@MimiTexasAngel,@TheDemocrats,Reply,Public
328,@TImperitive,@jong_slow,Retweet,Republican
329,@Firenic52376597,@jong_slow,Retweet,Republican
330,@EmranRashid3,@jong_slow,Retweet,Republican
331,@fanchuqi,@jong_slow,Retweet,Republican
332,@jong_slow,@jong_slow,Tweet,Republican
333,@TBrno11,@CallMeAhmjusAyn,Retweet,Republican
334,@TBrno11,@GOP,Retweet,Republican
335,@MimiTexasAngel,@StateDept,Mention,Democratic
336,@MimiTexasAngel,@StateDept,Mention,Republican
337,@MimiTexasAngel,@StateDept,Mention,Public
338,@MimiTexasAngel,@BarackObama,Mention,Democratic
339,@MimiTexasAngel,@BarackObama,Mention,Republican
340,@MimiTexasAngel,@BarackObama,Mention,Public
341,@MimiTexasAngel,@POTUS,Mention,Democratic
342,@MimiTexasAngel,@POTUS,Mention,Republican
343,@MimiTexasAngel,@POTUS,Mention,Public
344,@MimiTexasAngel,@JohnKerry,Mention,Democratic
